Year,Age_15_17,Age_18_19,Age_20_24,Age_50_59
2009,4506.0,4860.0,9516.0,702.0
2010,4352.0,4878.0,9740.0,783.0
2011,4056.0,4789.0,9745.0,844.0
2012,4408.0,5202.0,10169.0,904.0
2013,4741.0,5182.0,10480.0,1075.0
2014,4982.0,3224.0,7293.0,1113.0
2015,5146.0,3129.0,7337.0,1505.0
2016,4996.0,3118.0,7213.0,1377.0
2017,5121.0,2989.0,6989.0,1571.0
2018,4669.0,2915.0,6601.0,1703.0
2019,4468.0,2814.0,6433.0,1625.0
2020,3960.0,2587.0,5537.0,1722.0
2021,2953.0,2237.0,5189.0,1762.0
2022,2482.0,1877.0,4548.0,1620.0
2023,2179.0,1661.0,4088.0,1551.0
2024,1788.0,1314.0,3436.0,1568.0
2025,1400.0,1126.0,3066.0,1585.0
